非凡新聞台,rtmp://f13h.mine.nu/sat/tv581
東森財經新聞台,http://livetv.skycf.eu.org/live.m3u8?c=14
TVBS新聞台,http://livetv.skycf.eu.org/live.m3u8?c=5
中視新聞,http://livetv.skycf.eu.org/live.m3u8?c=6
中天新聞1,http://livetv.skycf.eu.org/live.m3u8?c=7
中天新聞2,https://45.152.67.168/cctv-17
東森新聞1,http://livetv.skycf.eu.org/live.m3u8?c=9
東森新聞2,https://45.152.67.168/cctv-18
鏡新聞,http://livetv.skycf.eu.org/live.m3u8?c=10
民視新聞台,http://livetv.skycf.eu.org/live.m3u8?c=11
三立NEWS+,http://livetv.skycf.eu.org/live.m3u8?c=12
華視新聞,http://livetv.skycf.eu.org/live.m3u8?c=13
台視新聞,http://livetv.skycf.eu.org/live.m3u8?c=4
中天亞洲,http://livetv.skycf.eu.org/live.m3u8?c=3
公視,http://livetv.skycf.eu.org/live.m3u8?c=8
民視,rtmp://f13h.mine.nu/sat/tv051
台視,rtmp://f13h.mine.nu/sat/tv071
中視,rtmp://f13h.mine.nu/sat/tv091
華視,rtmp://f13h.mine.nu/sat/tv111
東森超視,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
緯來日本台,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育台,rtmp://f13h.mine.nu/sat/tv721
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
大愛1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大愛2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
Dali_TV(大立),http://www.dalitv.com.tw:4568/live/dali/index.m3u8
HOY77,https://45.152.67.168/cctv-9
HOY78,https://45.152.67.168/cctv-10
無線財經台,https://45.152.67.168/cctv-11
功夫台,https://45.152.67.168/cctv-20
