d01,#genre#
d0001,http://38.64.72.148/hls/modn/list/4001/chunklist1.m3u8
d0002,http://38.64.72.148/hls/modn/list/4002/chunklist1.m3u8
d0003,http://38.64.72.148/hls/modn/list/4003/chunklist1.m3u8
d0004,http://38.64.72.148/hls/modn/list/4004/chunklist1.m3u8
d0005,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
d0006,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
d0007,http://38.64.72.148/hls/modn/list/4007/chunklist1.m3u8
d0008,http://38.64.72.148/hls/modn/list/4008/chunklist1.m3u8
d0009,http://38.64.72.148/hls/modn/list/4009/chunklist1.m3u8
d0010,http://38.64.72.148/hls/modn/list/4010/chunklist1.m3u8
d0011,http://38.64.72.148/hls/modn/list/4011/chunklist1.m3u8
d0012,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
d0013,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
d0014,http://38.64.72.148/hls/modn/list/4014/chunklist1.m3u8
d0015,http://38.64.72.148/hls/modn/list/4015/chunklist1.m3u8
d0016,http://38.64.72.148/hls/modn/list/4016/chunklist1.m3u8
d0017,http://38.64.72.148/hls/modn/list/4017/chunklist1.m3u8
d0018,http://38.64.72.148/hls/modn/list/4018/chunklist1.m3u8
d0019,http://38.64.72.148/hls/modn/list/4019/chunklist1.m3u8
d0020,http://38.64.72.148/hls/modn/list/4020/chunklist1.m3u8
d0021,http://38.64.72.148/hls/modn/list/4021/chunklist1.m3u8
d0022,http://38.64.72.148/hls/modn/list/4022/chunklist1.m3u8
d0023,http://38.64.72.148/hls/modn/list/4023/chunklist1.m3u8
d0024,http://38.64.72.148/hls/modn/list/4024/chunklist1.m3u8
d0025,http://38.64.72.148/hls/modn/list/4025/chunklist1.m3u8
d0026,http://38.64.72.148/hls/modn/list/4026/chunklist1.m3u8
d0027,http://38.64.72.148/hls/modn/list/4027/chunklist1.m3u8
d0028,http://38.64.72.148/hls/modn/list/4028/chunklist1.m3u8
d0029,http://38.64.72.148/hls/modn/list/4029/chunklist1.m3u8
d0030,http://38.64.72.148/hls/modn/list/4030/chunklist1.m3u8
d0031,http://38.64.72.148/hls/modn/list/4031/chunklist1.m3u8
d0032,http://38.64.72.148/hls/modn/list/4032/chunklist1.m3u8
d0033,http://38.64.72.148/hls/modn/list/4033/chunklist1.m3u8
d0034,http://38.64.72.148/hls/modn/list/4034/chunklist1.m3u8
d0035,http://38.64.72.148/hls/modn/list/4035/chunklist1.m3u8
d0036,http://38.64.72.148/hls/modn/list/4036/chunklist1.m3u8
