台灣免翻,#genre#
鏡新聞,http://
民視新聞,http://
中天新聞,http://
寰宇新聞,http://
寰宇新聞台灣台,http://
寰宇全視界,http://
寰宇財經台,http://
第1商業台,http://
非凡新聞,rtmp://
台視新聞,http://
中視新聞,http://
華視新聞,http://
民視新聞,https://
三立新聞iNEWS,
TVBS新聞,http://
重温经典,http://
龍華電影,http://
龍華洋片,http://
龍華經典,http://
龍華偶像,http://
龍華日韓,http://
龍華戲劇,http://
靖洋戲劇,http://
靖天電影,http://
東森電影,http://
緯來電影,http://
龍華電影,http://
龍華洋片,http://


ELEVEN體育1台,rtmp://f13h.mine.nu/sat/tv731
ELEVEN體育2台,rtmp://f13h.mine.nu/sat/tv741
緯來體育,rtmp://f13h.mine.nu:1935/sat/tv721
緯來體育,rtmp://f13h.mine.nu/sat/tv721
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來日本,rtmp://f13h.mine.nu/sat/tv771
東森超視,rtmp://f13h.mine.nu/sat/tv331
MoMoTV,rtmp://f13h.mine.nu/sat/tv761
民視,rtmp://f13h.mine.nu/sat/tv051
民視,rtmp://f13h.mine.nu:1935/sat/tv051
台視,rtmp://f13h.mine.nu/sat/tv071
台視,rtmp://f13h.mine.nu:1935/sat/tv071
中視,rtmp://f13h.mine.nu/sat/tv091
中視,rtmp://f13h.mine.nu:1935/sat/tv091
華視,rtmp://f13h.mine.nu/sat/tv111
華視,rtmp://f13h.mine.nu:1935/sat/tv111

鏡新聞,http://rihou.cc:555/tv/镜新闻
民視新聞,http://rihou.cc:555/tv/民视新闻
中天新聞,http://rihou.cc:555/tv/中天新闻
寰宇新聞,http://rihou.cc:555/tv/寰宇新闻
寰宇新聞台灣台,http://rihou.cc:555/tv/寰宇台湾
東森新聞,http://rihou.cc:555/tv/东森新闻

鏡新聞,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/c9b2313d-efdd-4777-9fae-573be8a86755/0.m3u8
民視新聞,https://livedata.cloudokyo.cloud/hls/094041f3-7cb6-4dd1-a2e6-de1b1e6c8d29/hls_480p/video.m3u8$官網
非凡新聞,rtmp://f13h.mine.nu/sat/tv581

重温经典,http://rihou.cc:555/tv/[Pd]重温经典
龍華電影,http://rihou.cc:555/tv/[Pd]龙华电影
龍華經典,http://rihou.cc:555/tv/[Pd]龙华经典
龍華偶像,http://rihou.cc:555/tv/[Pd]龙华偶像
龍華日韓,http://rihou.cc:555/tv/[Pd]龙华日韩
龍華戲劇,http://rihou.cc:555/tv/[Pd]龙华戏剧

TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
非凡新聞,http://iptv.4666888.xyz/iptv2A.php?id=44
民視,http://iptv.4666888.xyz/iptv2A.php?id=55
華藝中文,http://iptv.4666888.xyz/iptv2A.php?id=37
愛奇藝,http://iptv.4666888.xyz/iptv2A.php?id=21
靖洋戲劇,http://iptv.4666888.xyz/iptv2A.php?id=42
靖天電影,http://iptv.4666888.xyz/iptv2A.php?id=56
東森電影,http://iptv.4666888.xyz/iptv2A.php?id=48
緯來電影,http://iptv.4666888.xyz/iptv2A.php?id=54
龍華電影,http://iptv.4666888.xyz/iptv2A.php?id=45
龍華洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
風雲恐怖電影,http://iptv.4666888.xyz/iptv2A.php?id=59
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
梦工场动漫,http://iptv.4666888.xyz/iptv2A.php?id=40
Duck TV兒童卡通,http://iptv.4666888.xyz/iptv2A.php?id=39
MOMO親子,http://iptv.4666888.xyz/iptv2A.php?id=49
金光布袋戲,http://iptv.4666888.xyz/iptv2A.php?id=38
民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
民視影劇,http://iptv.4666888.xyz/iptv2A.php?id=53
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
臺視綜合,http://iptv.4666888.xyz/iptv2A.php?id=51
